684	73	4	878762087
569	1284	2	879795512
655	302	4	887424720
464	294	4	878354721
928	878	5	880936022
230	515	5	880484567
393	540	3	889731753
546	413	4	885140808
686	357	5	879545549
358	1149	3	891270043
644	323	4	889076433
373	1188	3	877106597
1	47	4	875072125
503	173	5	880383357
184	515	5	889907599
288	269	5	886373071
18	210	5	880131054
345	280	3	884991457
830	2	3	891561806
235	237	4	889655435
796	50	5	892660147
87	63	4	879876848
286	20	4	876521858
76	258	3	875027206
486	1093	4	879874692
472	231	5	875980418
194	197	4	879522021
92	405	2	875644795
747	108	4	888733415
614	717	4	879465414
374	449	4	880938044
591	466	3	891031116
328	286	5	885044452
457	356	4	882547670
59	116	4	888203018
916	570	3	880845368
666	640	4	880314477
392	663	4	891039049
174	63	4	886514985
112	272	5	886398204
262	786	3	879795319
288	880	1	886373007
83	476	3	880307359
621	501	3	874965299
184	528	5	889908462
255	217	2	883216600
738	50	5	892844112
292	486	4	881105246
201	380	1	884140825
453	184	4	877554846
201	591	3	884140307
201	340	5	884110887
567	83	4	882425791
524	435	4	884635053
823	66	4	878439391
588	559	5	890025951
399	1274	1	882350870
766	215	3	891309250
158	510	3	880134296
44	173	5	878348725
721	50	5	877138584
142	425	4	888640489
892	649	5	886608135
592	342	2	882607745
795	514	4	883250472
846	603	5	883947960
517	1	3	892659892
354	65	4	891218046
447	227	2	878856233
790	241	5	885156825
21	974	3	874951416
16	172	5	877724726
640	173	5	886354270
921	395	3	879380908
782	749	4	891498079
867	1608	2	880078110
92	449	3	875812511
299	529	4	877880852
650	158	2	891388149
661	131	3	886841714
795	583	4	883250168
58	61	5	884305271
764	1012	4	876244181
739	187	4	886959115
216	181	3	880232597
262	778	4	879793536
502	751	3	883702120
782	1016	3	891499321
64	157	4	879365491
529	307	5	882534996
90	137	5	891384754
503	482	5	880383588
846	1479	3	883948720
109	200	2	880577734
435	562	5	884133819
189	129	3	893264378
930	282	4	879534667
620	683	3	889986984
112	754	4	884992508
254	621	3	886474807
668	345	2	890349041
574	358	2	891279520
87	570	3	879876163
497	151	3	879363510
780	164	4	891363996
566	156	4	881649428
585	1021	3	891283681
511	355	2	890004827
804	616	3	879442984
294	742	4	877819634
592	521	5	882955703
851	1028	3	875730686
452	1204	4	875560150
97	23	5	884239553
290	739	3	880475757
790	235	1	884462551
787	937	3	888979074
773	919	5	888538643
11	660	3	891904573
194	50	3	879521396
504	38	4	887840134
507	352	1	889964274
102	186	4	888803487
82	284	4	876311387
271	521	5	885848373
897	288	5	879988800
887	172	5	881379718
782	1251	3	891500028
230	10	3	880485530
887	476	1	881379059
207	1436	3	878191574
537	1068	3	886029974
605	132	5	879425432
236	496	3	890116499
934	648	3	891190695
524	32	4	884634679
846	562	5	883950463
7	541	2	891354662
618	944	2	891309266
749	71	4	878847576
160	1016	4	876767440
445	281	1	891200417
59	393	2	888205714
815	494	5	878696093
4	303	5	892002352
429	443	4	882385210
399	742	4	882340844
786	216	4	882843272
803	340	5	880055088
94	1044	4	891722555
62	1130	4	879376686
70	1030	2	884151801
566	707	4	881650442
82	275	2	884714125
297	235	2	874954611
592	250	4	882608145
521	127	4	885253352
25	125	5	885852817
660	271	3	891197561
87	765	3	879877006
280	155	5	891702544
7	211	5	891352557
646	352	1	888529153
455	298	4	882818787
907	83	5	880159865
13	228	4	882140389
92	222	4	886440557
87	1041	4	879877007
22	186	5	878886368
354	509	5	891218249
758	285	5	881974823
259	298	4	874724754
648	235	4	882212071
727	510	4	883710717
843	661	3	879447077
823	426	4	878437658
508	710	4	883777071
64	898	2	889737106
666	651	5	880139149
540	111	4	882157148
271	496	5	885849140
505	988	3	888631371
566	108	2	881651360
496	607	3	876065822
757	751	3	888443398
389	8	4	880086755
404	348	3	883790400
655	649	3	888685989
648	472	3	882211965
113	874	5	875935338
70	161	3	884067638
372	322	3	876869330
13	683	1	886952521
